sample,B.naive,B.mem,Plasma,T.CD8,T.CD4.naive,T.CD4.mem.rest,T.CD4.mem.act,T.folli.hel,T.reg,T.g.d,NK.rest,NK.act,Mono,Macro.M0,Macro.M1,Macro.M2,Dendritic.rest,Dendritic.act,Mast.rest,Mast.act,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
ME_40_Nevus,0,0.043838021,0.005088613,0,0,0.203915715,0.002607311,0,0,0.006660156,0,0.004944813,0.013205248,0.004438293,0.022525764,0.04045484,0.033748195,0,0.088951765,0,0,0,0.059,0.148114309,1.024806163,0.470378734
ME_43_Mel,0,0,0,0,0,0.166339103,0.00452522,0.012834814,0,0,0.003938753,0,0.030337383,0.072814143,0.002540413,0.121018707,0.025199458,0,0.058827182,0,0,0,0.29,0.050236257,1.065735729,0.498375176
ME_43_Nevus,0,0,0.00065276,0.001560231,0,0.076036945,0,0.017787833,0,0,0,0.003237144,0.017286816,0.032152294,0.000105899,0.123547541,0.022101172,0,0.080847055,0,0,0,0.388,0.033638856,1.072968561,0.37531569
ME_47_Mel1,0,0.03455539,0,0.118580701,0,0.017468382,0.197158051,0.010490184,0,0,0.037739044,0,0.059736405,0.008443831,0.041254531,0.10963922,0.006987835,0,0.041548256,0,0,0.002156544,0.116,0.101210843,1.035254216,0.685758374
ME_47_Mel2,0,0.009096146,0,0.058064573,0,0.064908431,0.088401503,0.021765304,0,0.000347129,0.00319112,0.010856521,0.010968461,0.023201997,0.026626194,0.055252353,0.002369267,0,0.054322908,0,0,0,0.294,0.049312278,1.060072473,0.429371906
ME_47_Nevus,0.045393107,0,0.010736522,0.260629753,0,0.264419447,0.199700854,0.069436653,0,0.02702252,0.0169973,0,0.077923921,0.042055246,0.096578345,0.119936088,0.001233992,0,0.125154387,0,0,0,0.035,0.174988065,1.017542208,1.357218134
ME_48_Mel,0,0.010218611,0.003283978,0.027697338,0,0.02908868,0.014136338,0.026354819,0,0,0.000207861,0,0.011215789,0.204199528,0.00254381,0.108384179,0.001925102,0.004524583,0.025946258,0,0.009343426,0.001061896,0.061,0.144390481,1.061715596,0.480132196
ME_48_Nevus,0,0.009636202,0.001736407,0,0,0.137056276,0.000820338,0.008793241,0,0,0.005777817,0.002342412,0,0.084527307,0.006476448,0.090045752,0.017949185,0,0.080704023,0,0,0,0.385,0.034614565,1.072114721,0.44586541
ME_49_Mel,0,0.00541108,0.004778134,0.100895646,0,0.23473268,0.032941408,0.037863011,0,0.027262027,0.020429782,0,0,0.012015761,0.108955748,0.112179518,0.045881336,0,0.054802759,0,0,0,0.04,0.166904045,1.02853427,0.79814889
ME_49_Nevus,0.004794284,0,0.015437867,0.277842759,0,0.450545735,0.079639518,0.000429628,0,0.075051562,0,0.002011188,0,0,0.107587256,0.108072289,0.02901992,0,0.04526868,0,0,0.002231016,0,0.563671241,0.825850596,1.197931704
